CBSAFP,latitude,longitude
34780,35.856403,-95.766166
34780,35.856756,-95.65042
34780,35.76516,-95.589736
34780,35.822410999999995,-95.36036299999999
34780,35.813266,-95.26567899999999
34780,35.812754999999996,-95.127163
34780,35.638894,-95.12746399999999
34780,35.526196,-95.132437
34780,35.461396,-95.085635
34780,35.458894,-95.049933
34780,35.310106,-95.170462
34780,35.26231,-95.240718
34780,35.293096999999996,-95.34465
34780,35.552240999999995,-95.34503
34780,35.551801999999995,-95.71295699999999
34780,35.725806999999996,-95.713081
34780,35.72575,-95.76626499999999
34780,35.856403,-95.766166
29780,35.871185,-105.720529
29780,35.870695,-105.34783
29780,35.807915,-105.109726
29780,35.769686,-105.018602
29780,35.783127,-104.750645
29780,35.779302,-104.37012
29780,35.781493999999995,-104.021702
29780,35.801747,-103.976901
29780,35.422785,-103.723609
29780,35.389662,-103.637053
29780,35.240819,-103.63713
29780,35.242405,-103.85753
29780,35.142058,-104.12512100000001
29780,35.215696,-104.125136
29780,35.216488999999996,-105.291169
29780,35.04203,-105.290791
29780,35.041605,-105.71441899999999
29780,35.871185,-105.720529
33060,36.9995225591258,-95.00762000447209
33060,36.999528999999995,-94.99529299999999
33060,36.998794,-94.71276999999999
33060,36.998905,-94.617964
33060,36.76656,-94.618307
33060,36.6679212723442,-94.61799177841719
33060,36.670631,-94.999403
33060,36.943238,-94.99915299999999
33060,36.994225,-95.034123
33060,36.9995225591258,-95.00762000447209
27580,18.284104,-66.597475
27580,18.298548999999998,-66.56662
27580,18.180137,-66.53102299999999
27580,18.163097999999998,-66.543133
27580,18.15313,-66.54722
27580,18.152057,-66.55276599999999
27580,18.172479,-66.591005
27580,18.158856999999998,-66.649467
27580,18.284104,-66.597475
18020,39.344189,-86.085601
18020,39.347373,-85.952005
18020,39.350049,-85.68451499999999
18020,39.130859,-85.68678299999999
18020,39.128896999999995,-85.79983399999999
18020,39.068536,-85.79880399999999
18020,39.04091,-85.860573
18020,39.05027,-86.080272
18020,39.079640999999995,-86.07903
