STATEFP,NAME,latitude,longitude
24,Maryland,39.301137,-76.29660899999999
24,Maryland,39.2729050860827,-76.3254183419569
24,Maryland,39.248822,-76.349994
24,Maryland,39.231702,-76.39550899999999
24,Maryland,39.205708,-76.425281
24,Maryland,39.205908,-76.463483
24,Maryland,39.204808,-76.498384
24,Maryland,39.199286249126004,-76.5040085909181
24,Maryland,39.177907999999995,-76.525785
24,Maryland,39.131709,-76.428681
24,Maryland,39.081441999999996,-76.42186
24,Maryland,39.042069999999995,-76.420394
24,Maryland,39.011311,-76.39408
24,Maryland,38.982811,-76.448981
24,Maryland,38.956512,-76.47128099999999
24,Maryland,38.941113,-76.45027999999999
24,Maryland,38.907613,-76.46938
24,Maryland,38.9026933786299,-76.4739761636555
24,Maryland,38.884814,-76.49068
24,Maryland,38.851157,-76.516944
24,Maryland,38.838715,-76.48987799999999
24,Maryland,38.787016,-76.526979
24,Maryland,38.756352,-76.55874299999999
24,Maryland,38.72443,-76.52665499999999
24,Maryland,38.7127503012383,-76.52709254739419
24,Maryland,38.663889,-76.52892299999999
24,Maryland,38.615745,-76.51127799999999
24,Maryland,38.539148999999995,-76.517506
24,Maryland,38.482849,-76.492699
24,Maryland,38.442422,-76.450937
24,Maryland,38.389477,-76.393378
24,Maryland,38.361267,-76.387002
24,Maryland,38.3198719439614,-76.400194624698
24,Maryland,38.311402,-76.402894
24,Maryland,38.296347999999995,-76.374481
24,Maryland,38.239663,-76.392668
24,Maryland,38.178135,-76.353516
24,Maryland,38.138338999999995,-76.32013599999999
24,Maryland,38.099331,-76.330794
24,Maryland,38.036502999999996,-76.322093
24,Maryland,38.079564999999995,-76.37178999999999
24,Maryland,38.119383,-76.430425
24,Maryland,38.115873,-76.481036
24,Maryland,38.152991,-76.54038
24,Maryland,38.214211999999996,-76.590637
24,Maryland,38.234401,-76.673462
24,Maryland,38.235226999999995,-76.740055
24,Maryland,38.252275,-76.805949
24,Maryland,38.2583001006141,-76.8270361292819
24,Maryland,38.268944999999995,-76.86429199999999
24,Maryland,38.311339,-76.92217699999999
24,Maryland,38.347327,-76.975492
24,Maryland,38.421952,-77.001638
24,Maryland,38.445572,-77.01637099999999
24,Maryland,38.42471,-77.07548899999999
24,Maryland,38.410646,-77.123325
24,Maryland,38.380662,-77.21118799999999
24,Maryland,38.435821,-77.259962
24,Maryland,38.538340999999996,-77.246584
24,Maryland,38.600699,-77.183767
24,Maryland,38.614363999999995,-77.12908399999999
24,Maryland,38.635017,-77.1302
24,Maryland,38.673815999999995,-77.13250099999999
24,Maryland,38.7052812818324,-77.08578476515639
24,Maryland,38.709514999999996,-77.079499
24,Maryland,38.709914999999995,-77.05319899999999
24,Maryland,38.737913999999996,-77.040998
24,Maryland,38.746691930482896,-77.0406725707781
24,Maryland,38.785336325623604,-77.0392398850823
