"entity_key","location_id","initial_geoid"
"ansi:00069167","loc_00000160","05095"
"ansi:00069168","loc_00000161","05097"
"ansi:00069169","loc_00000162","05099"
"ansi:00069900","loc_00000163","05101"
"ansi:00069170","loc_00000164","05103"
"ansi:00069171","loc_00000165","05105"
"ansi:00069172","loc_00000166","05107"
"ansi:00069173","loc_00000167","05109"
"ansi:00069174","loc_00000168","05111"
"ansi:00069175","loc_00000169","05113"
"ansi:00069901","loc_00000170","05115"
"ansi:00069176","loc_00000171","05117"
"ansi:00069177","loc_00000172","05119"
"ansi:00069178","loc_00000173","05121"
"ansi:00083331","loc_00000174","05123"
"ansi:00067102","loc_00000175","05125"
"ansi:00069179","loc_00000176","05127"
"ansi:00069180","loc_00000177","05129"
"ansi:00069181","loc_00000178","05131"
"ansi:00069182","loc_00000179","05133"
"ansi:00069183","loc_00000180","05135"
"ansi:00069902","loc_00000181","05137"
"ansi:00069903","loc_00000182","05139"
"ansi:00069904","loc_00000183","05141"
"ansi:00069905","loc_00000184","05143"
"ansi:00069906","loc_00000185","05145"
"ansi:00069907","loc_00000186","05147"
"ansi:00069908","loc_00000187","05149"
"ansi:01675839","loc_00000188","06001"
"ansi:01675840","loc_00000189","06003"
"ansi:01675841","loc_00000190","06005"
"ansi:01675842","loc_00000191","06007"
"ansi:01675885","loc_00000192","06009"
"ansi:01675902","loc_00000193","06011"
"ansi:01675903","loc_00000194","06013"
"ansi:01682074","loc_00000195","06015"
"ansi:00277273","loc_00000196","06017"
"ansi:00277274","loc_00000197","06019"
"ansi:00277275","loc_00000198","06021"
"ansi:01681908","loc_00000199","06023"
"ansi:00277277","loc_00000200","06025"
"ansi:01804637","loc_00000201","06027"
"ansi:02054176","loc_00000202","06029"
"ansi:00277280","loc_00000203","06031"
"ansi:00277281","loc_00000204","06033"
"ansi:01693324","loc_00000205","06035"
"ansi:00277283","loc_00000206","06037"
"ansi:00277284","loc_00000207","06039"
"ansi:00277285","loc_00000208","06041"
"ansi:00277286","loc_00000209","06043"
"ansi:00277287","loc_00000210","06045"
"ansi:00277288","loc_00000211","06047"
"ansi:00277289","loc_00000212","06049"
"ansi:00277290","loc_00000213","06051"
"ansi:00277291","loc_00000214","06053"
"ansi:00277292","loc_00000215","06055"
"ansi:01682927","loc_00000216","06057"
"ansi:00277294","loc_00000217","06059"
