COUNTYFP,latitude,longitude
37017,34.835268,-78.90199799999999
37017,34.850857,-78.79959699999999
37017,34.845918999999995,-78.516123
37017,34.856182,-78.494705
37017,34.749463,-78.390748
37017,34.741265,-78.391978
37017,34.700722,-78.374363
37017,34.553595,-78.254441
37017,34.508614,-78.255468
37017,34.465356,-78.176501
37017,34.399468999999996,-78.256085
37017,34.367536,-78.334569
37017,34.3774,-78.44532
37017,34.460868999999995,-78.64837299999999
37017,34.462578,-78.830353
37017,34.484778,-78.868961
37017,34.689202,-78.80572099999999
37017,34.835268,-78.90199799999999
37167,35.202104,-80.49737499999999
37167,35.502919999999996,-80.29542099999999
37167,35.504151,-80.182559
37167,35.459451,-80.10849499999999
37167,35.371537,-80.051225
37167,35.255173,-80.098185
37167,35.143080999999995,-80.07536499999999
37167,35.193881999999995,-80.112644
37167,35.147847,-80.17281899999999
37167,35.195721999999996,-80.27682899999999
37167,35.16494,-80.356982
37167,35.184998,-80.50498499999999
37167,35.202104,-80.49737499999999
39153,41.135956,-81.68699
39153,41.277145999999995,-81.68495
39153,41.277255,-81.67051
39153,41.277553999999995,-81.590542
39153,41.277758,-81.565139
39153,41.351157,-81.598052
39153,41.350153999999996,-81.517658
39153,41.349148,-81.45033099999999
39153,41.348272,-81.391694
39153,41.276654,-81.391831
39153,41.135722,-81.39211399999999
39153,41.100435,-81.392534
39153,41.025435,-81.393282
39153,40.988530999999995,-81.393249
39153,40.906504,-81.420418
39153,40.914016,-81.647735
39153,40.988563,-81.647689
39153,40.988589999999995,-81.688491
39153,41.135956,-81.68699
42113,41.590033999999996,-76.81373099999999
42113,41.541284999999995,-76.220139
42113,41.511137,-76.22813099999999
42113,41.376517,-76.2831
42113,41.310199,-76.310133
42113,41.308417999999996,-76.407934
42113,41.275628999999995,-76.447597
42113,41.304331999999995,-76.59253199999999
42113,41.405572,-76.74949699999999
42113,41.590033999999996,-76.81373099999999
48459,32.660948999999995,-95.15274
48459,32.902640999999996,-95.15211
48459,32.904502,-94.71994199999999
48459,32.879177,-94.705878
48459,32.834756,-94.67235099999999
48459,32.793088,-94.70214
48459,32.652209,-94.70179
48459,32.667556999999995,-94.745779
48459,32.590648,-94.820223
48459,32.537324,-94.98658499999999
48459,32.537245999999996,-94.986935
48459,32.516478,-95.009992
48459,32.542696,-95.01503699999999
48459,32.570115,-95.15341
48459,32.660948999999995,-95.15274
48049,32.079235,-99.195871
48049,32.079585,-99.118665
48049,32.078018,-98.92440099999999
48049,31.700514,-98.668441
48049,31.687896,-98.76005699999999
48049,31.610735,-98.779951
48049,31.484071,-98.991608
48049,31.490302,-99.041741
48049,31.460926999999998,-99.090622
48049,31.44832,-99.09750799999999
48049,31.467233999999998,-99.20276799999999
48049,32.079235,-99.195871
45021,35.183520599502,-81.8744102050921
45021,35.1797077063839,-81.76813440777389
45021,35.169882,-81.494265
45021,35.16409216120449,-81.3676049106764
45021,35.046324,-81.40887599999999
45021,35.034853,-81.487016
45021,34.948955999999995,-81.492108
45021,34.839279999999995,-81.457257
45021,34.866495,-81.481945
45021,34.912577,-81.711694
45021,34.930279999999996,-81.755083
45021,35.055505,-81.806252
45021,35.183520599502,-81.8744102050921
01043,33.992385,-87.111992
01043,34.299299,-87.109911
01043,34.313798999999996,-87.11011099999999
01043,34.304694,-86.581936
01043,34.302758,-86.477525
01043,34.259316999999996,-86.45302
01043,34.252320999999995,-86.51892699999999
01043,34.170493,-86.56385
01043,34.11904,-86.601147
01043,34.092653999999996,-86.692061
01043,34.05914,-86.68536499999999
01043,33.952059,-86.793914
01043,33.909222,-86.924387
01043,33.858221,-86.963358
01043,33.890093,-87.091836
01043,33.993224999999995,-87.15103599999999
01043,33.992385,-87.111992
54023,39.205960999999995,-79.486873
54023,39.228170999999996,-79.424413
54023,39.278039,-79.35374999999999
54023,39.30964,-79.283723
54023,39.3262438284674,-79.26239211717609
54023,39.312501,-79.134456
54023,39.237624,-78.97989799999999
54023,39.038208,-79.089655
54023,38.927209999999995,-79.046853
54023,38.81334,-79.13429599999999
54023,38.957509,-79.349867
54023,38.964509,-79.357666
54023,39.073209999999996,-79.298164
54023,39.086507999999995,-79.355468
54023,39.209202999999995,-79.306461
54023,39.194905999999996,-79.487175
54023,39.205960999999995,-79.486873
46055,44.510926,-102.001068
46055,44.511663,-102.000432
46055,44.538458,-101.889038
46055,44.522372999999995,-101.811198
46055,44.579482999999996,-101.71503799999999
46055,44.567875,-101.531035
46055,44.636202999999995,-101.456072
46055,44.653667,-101.38146
46055,44.687825,-101.361918
46055,44.692287,-101.229495
46055,44.747126,-101.136838
46055,44.689947,-101.154516
46055,44.343146999999995,-101.155188
46055,44.168085,-101.166753
46055,44.168484,-101.046916
46055,43.994969999999995,-101.046786
46055,43.994929,-101.064068
46055,43.99453,-102.007336
46055,44.510926,-102.001068
55061,44.6536977497349,-87.7613076788851
55061,44.667122,-87.748409
55061,44.6770118161559,-87.73757086086628
55061,44.675512109805,-87.3754915502194
55061,44.631191,-87.401629
55061,44.586273999999996,-87.446963
55061,44.460685999999995,-87.498662
55061,44.3275128561299,-87.5433267854761
55061,44.327183999999995,-87.766026
55061,44.6536977497349,-87.7613076788851
18049,41.171442,-86.467046
18049,41.172868,-86.077551
18049,41.084877999999996,-86.07593899999999
18049,41.042876,-85.945561
18049,40.999195,-85.94643599999999
18049,40.996097,-86.168459
18049,40.909836,-86.169012
18049,40.909889,-86.468509
18049,41.171442,-86.467046
19083,42.557700000000004,-93.49948499999999
19083,42.55681,-93.027
19083,42.470638,-93.00290199999999
